,coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate,fpco2
773,CFAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,F,9.69,4.00E-03,T60,0.212,280
781,CFAD2,280_28_2,27.9,280_28,314.65,28,pre,A,D,F,8.646,4.00E-03,T60,0.346,280
796,CFAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,F,10.342,4.00E-03,T60,0.181,700
874,CFSA3,400_31_1,31.1,400_31,434.02,31,cur,S,A,F,10.181,4.00E-03,T60,0.241,400
875,CFSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,F,8.918,4.00E-03,T60,2.034,700
902,CFSE1,280_31_3,30.9,280_31,291.58,31,pre,S,E,F,8.451,4.00E-03,T60,0.805,280
948,CNAA9,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,N,10.005,4.00E-03,T60,0.498,2800
960,CNAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,N,8.534,4.00E-03,T60,1.167,400
971,CNAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,N,9.482,4.00E-03,T60,-1.031,2800
974,CNAE11,400_28_3,28,400_28,405.52,28,cur,A,E,N,9.245,4.00E-03,T60,0.188,400
975,CNAE2,280_28_3,27.9,280_28,317.27,28,pre,A,E,N,8.297,4.00E-03,T60,-0.24,280
981,CNAF10,400_28_3,28,400_28,405.52,28,cur,A,F,N,7.282,4.00E-03,T60,0.857,400
984,CNAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,N,11.216,4.00E-03,T60,0.377,700
1037,CNSA18,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,N,8.888,4.00E-03,T60,0.062,2800
1041,CNSA7,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,N,7.103,4.00E-03,T60,0.233,2800
1082,CNTA11,400_28_1,28,400_28,408.25,28,cur,T,A,N,13.82,4.00E-03,T60,0.22,400
1091,CNTB2,280_28_1,28,280_28,302.69,28,pre,T,B,N,19.043,4.00E-03,T60,0.073,280
1108,CNTD1,280_31_2,30.9,280_31,286.61,31,pre,T,D,N,17.389,4.00E-03,T60,0.249,280
1133,CFAA14,400_28_1,28,400_28,408.25,28,cur,A,A,F,10.418,4.00E-03,T90,0.041,400
1143,CFAB2,280_28_1,28,280_28,302.69,28,pre,A,B,F,10.698,4.00E-03,T90,-0.594,280
1144,CFAB3,400_31_1,31.1,400_31,434.02,31,cur,A,B,F,11.497,4.00E-03,T90,-1.395,400
1148,CFAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,F,8.561,4.00E-03,T90,-0.08,280
1150,CFAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,F,9.69,4.00E-03,T90,-0.418,280
1158,CFAD2,280_28_2,27.9,280_28,314.65,28,pre,A,D,F,8.646,4.00E-03,T90,-1.584,280
1173,CFAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,F,10.342,4.00E-03,T90,-0.385,700
1251,CFSA3,400_31_1,31.1,400_31,434.02,31,cur,S,A,F,10.181,4.00E-03,T90,0.274,400
1252,CFSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,F,8.918,4.00E-03,T90,1.216,700
1279,CFSE1,280_31_3,30.9,280_31,291.58,31,pre,S,E,F,8.451,4.00E-03,T90,0.638,280
1325,CNAA9,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,N,10.005,4.00E-03,T90,-0.663,2800
1337,CNAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,N,8.534,4.00E-03,T90,-0.417,400
1348,CNAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,N,9.482,4.00E-03,T90,-1.533,2800
1351,CNAE11,400_28_3,28,400_28,405.52,28,cur,A,E,N,9.245,4.00E-03,T90,-1.709,400
1352,CNAE2,280_28_3,27.9,280_28,317.27,28,pre,A,E,N,8.297,4.00E-03,T90,-0.916,280
1358,CNAF10,400_28_3,28,400_28,405.52,28,cur,A,F,N,7.282,4.00E-03,T90,0.232,400
1361,CNAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,N,11.216,4.00E-03,T90,-0.242,700
1414,CNSA18,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,N,8.888,4.00E-03,T90,-0.154,2800
1418,CNSA7,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,N,7.103,4.00E-03,T90,-0.376,2800
1459,CNTA11,400_28_1,28,400_28,408.25,28,cur,T,A,N,13.82,4.00E-03,T90,-0.06,400
1468,CNTB2,280_28_1,28,280_28,302.69,28,pre,T,B,N,19.043,4.00E-03,T90,0.09,280
1485,CNTD1,280_31_2,30.9,280_31,286.61,31,pre,T,D,N,17.389,4.00E-03,T90,0.043,280
1510,CFAA14,400_28_1,28,400_28,408.25,28,cur,A,A,F,10.418,4.00E-03,total,0.079,400
1520,CFAB2,280_28_1,28,280_28,302.69,28,pre,A,B,F,10.698,4.00E-03,total,-0.018,280
1521,CFAB3,400_31_1,31.1,400_31,434.02,31,cur,A,B,F,11.497,4.00E-03,total,-0.319,400
1525,CFAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,F,8.561,4.00E-03,total,0.268,280
1527,CFAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,F,9.69,4.00E-03,total,0.101,280
1535,CFAD2,280_28_2,27.9,280_28,314.65,28,pre,A,D,F,8.646,4.00E-03,total,-0.399,280
1550,CFAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,F,10.342,4.00E-03,total,-0.1,700
1628,CFSA3,400_31_1,31.1,400_31,434.02,31,cur,S,A,F,10.181,4.00E-03,total,0.182,400
1629,CFSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,F,8.918,4.00E-03,total,1.692,700
1656,CFSE1,280_31_3,30.9,280_31,291.58,31,pre,S,E,F,8.451,4.00E-03,total,0.794,280
1702,CNAA9,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,N,10.005,4.00E-03,total,0.002,2800
1714,CNAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,N,8.534,4.00E-03,total,0.538,400
1725,CNAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,N,9.482,4.00E-03,total,-1.068,2800
1728,CNAE11,400_28_3,28,400_28,405.52,28,cur,A,E,N,9.245,4.00E-03,total,-0.174,400
1729,CNAE2,280_28_3,27.9,280_28,317.27,28,pre,A,E,N,8.297,4.00E-03,total,-0.344,280
1735,CNAF10,400_28_3,28,400_28,405.52,28,cur,A,F,N,7.282,4.00E-03,total,0.524,400
1738,CNAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,N,11.216,4.00E-03,total,0.224,700
1791,CNSA18,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,N,8.888,4.00E-03,total,-0.048,2800
1795,CNSA7,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,N,7.103,4.00E-03,total,-0.204,2800
1836,CNTA11,400_28_1,28,400_28,408.25,28,cur,T,A,N,13.82,4.00E-03,total,0.2,400
