coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate2,fpco2,rate,gross
CNPA6,2800_28_1,28.1,2800_28,3369.78,28,ext,P,A,N,13.452,NA,total,0,2800,0.097,0.902198903
CNPB1,400_28_1,28,400_28,408.25,28,cur,P,B,N,11.973,NA,total,0,400,1.786,1.415340543
CNPB2,280_28_1,28,280_28,302.69,28,pre,P,B,N,13.278,NA,total,0,280,1.952,1.441565055
CNPB20,280_31_1,31,280_31,286.83,31,pre,P,B,N,2.963,NA,total,0,280,0.418,0.546213051
CNPB3,400_31_1,31.1,400_31,434.02,31,cur,P,B,N,12.758,NA,total,0,400,0.008,0.417314076
CNPB5,700_31_1,30.9,700_31,666.85,31,eoc,P,B,N,13.166,NA,total,0,700,0.208,0.514206265
CNPB6,700_28_1,28,700_28,707.6,28,eoc,P,B,N,11.874,NA,total,0,700,0.834,0.876281761
CNPB7,2800_31_1,30.9,2800_31,3258.29,31,ext,P,B,N,11.55,NA,total,0,2800,-0.993,0.077728974
CNPB8,2800_28_1,28.1,2800_28,3369.78,28,ext,P,B,N,10.855,NA,total,0,2800,1.505,1.47129861
CNPC6,700_28_2,28.1,700_28,707.17,28,eoc,P,C,N,9.106,NA,total,0,700,-0.78,-0.054611564
CNPC8,2800_28_2,28.1,2800_28,3336.47,28,ext,P,C,N,8.709,NA,total,0,2800,-1.068,0.346919596
CNPD1,280_31_2,30.9,280_31,286.61,31,pre,P,D,N,11.375,NA,total,0,280,0.855,0.930385951
CNPD2,280_28_2,27.9,280_28,314.65,28,pre,P,D,N,9.539,NA,total,0,280,2.606,1.989159912
CNPD3,400_31_2,31.1,400_31,447.02,31,cur,P,D,N,10.293,NA,total,0,400,0.453,0.684615831
CNPD5,700_31_2,30.9,700_31,677.35,31,eoc,P,D,N,9.488,NA,total,0,700,0.19,0.653710959
CNPD6,700_28_2,28.1,700_28,707.17,28,eoc,P,D,N,9.298,NA,total,0,700,0.779,0.909927938
CNPD7,2800_31_2,30.9,2800_31,3301.59,31,ext,P,D,N,9.259,NA,total,0,2800,-0.35,0.38795452
CNPD8,2800_28_2,28.1,2800_28,3336.47,28,ext,P,D,N,10.323,NA,total,0,2800,0.426,1.137755382
CNPE1,280_31_3,30.9,280_31,291.58,31,pre,P,E,N,9.047,NA,total,0,280,0.297,0.617623542
CNPE12,2800_31_3,31,2800_31,3295.97,31,ext,P,E,N,10.657,NA,total,0,2800,-0.212,0.727175731
CNPE2,280_28_3,27.9,280_28,317.27,28,pre,P,E,N,9.957,NA,total,0,280,1.949,1.646126171
CNPE3,400_31_3,31.1,400_31,459.07,31,cur,P,E,N,9.791,NA,total,0,400,-1.699,-0.425224079
CNPE5,700_31_3,30.9,700_31,675.24,31,eoc,P,E,N,9.326,NA,total,0,700,-0.416,0.264812786
CNPE6,700_28_3,28.1,700_28,689.5,28,eoc,P,E,N,9.914,NA,total,0,700,1.464,1.363236137
CNPE8,2800_28_3,28.1,2800_28,3219.84,28,ext,P,E,N,9.476,NA,total,0,2800,-0.04,0.791833185
CNPF1,280_31_3,30.9,280_31,291.58,31,pre,P,F,N,10.141,NA,total,0,280,0.447,0.785231644
CNPF2,280_28_3,27.9,280_28,317.27,28,pre,P,F,N,12.097,NA,total,0,280,2.526,1.939109515
CNPF6,700_28_3,28.1,700_28,689.5,28,eoc,P,F,N,9.59,NA,total,0,700,1.264,1.299257895
CNPF8,2800_28_3,28.1,2800_28,3219.84,28,ext,P,F,N,13.066,NA,total,0,2800,0.709,1.170538179
CNSA1,280_31_1,31,280_31,286.83,31,pre,S,A,N,9.448,6.00E-03,total,0,280,0.874,1.056457975
CNSA17,400_28_1,28,400_28,408.25,28,cur,S,A,N,6.707,6.00E-03,total,0,400,0.325,0.559167528
CNSA18,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,N,8.888,4.00E-03,total,0,2800,-0.048,0.718457684
CNSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,N,8.813,6.00E-03,total,0,700,0.686,1.010690078
CNSA6,700_28_1,28,700_28,707.6,28,eoc,S,A,N,7.59,0.011,total,0,700,0.551,0.911017643
CNSA7,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,N,7.103,4.00E-03,total,0,2800,-0.204,0.637986439
CNSB1,280_31_1,31,280_31,286.83,31,pre,S,B,N,11.196,0.01,total,0,280,1.308,1.202439756
CNSB16,400_31_3,31.1,400_31,459.07,31,cur,S,B,N,11.49,9.00E-03,total,0,400,1.24,1.25335026
